姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
蒋仁生,先生,70,中国-广西-桂林, ,智飞生物,中国-重庆,China-Chongqing,疫苗,121,-8,1000.0,-12%
Leonardo Maria del Vecchio,先生,27,,,EssilorLuxottica,意大利-米兰,Italy-Milan,奢侈品,121,New,1000.0,New
菲利普·安舒茨,先生,84,,本科,Anschutz Entertainment,美国-丹佛,USA-Denver,娱乐,121,11,1000.0,0%
Renata Kellnerova,女士,56,,,PPF,捷克共和国-布拉格,Czech Republic-Prague,银行业,121,-1,1000.0,-6%
萨拉·莫塔·德·拉雷亚,女士,未知,, ,Grupo Mexico,墨西哥-墨西哥城,Mexico-Mexico City,金属与矿产,121,28,1000.0,7%
Sherry Brydson,女士,未知,,,汤森路透,加拿大-安大略,Canada-Ontario,媒体,121,92,1000.0,36%
小托马斯·弗里斯特,先生,85,美国-纳什维尔,本科,HCA Healthcare,美国-纳什维尔,USA-Nashville,医疗健康,121,-28,1000.0,-21%
王健林,先生,69,中国-四川-绵阳,本科,万达,中国-北京,China-Beijing,房地产,121,-8,1000.0,-12%
杨惠妍,女士,42,中国-广东-佛山,本科,碧桂园,中国-佛山,China-Foshan,房地产、教育,121,-67,1000.0,-42%
宗庆后,先生,78,中国-江苏-宿迁, ,娃哈哈,中国-杭州,China-Hangzhou,饮料,121,-28,1000.0,-21%
安德烈亚斯·斯特朗曼,先生,未知,,本科,BioNTech,德国-泰根湖,Germany-Tegernsee,生物制药,136,-4,950.0,-7%
大卫·泰珀,先生,66,,本科,阿帕卢萨资产管理,美国-Miami Beach,USA-Miami Beach,资产管理,136,58,950.0,17%
埃内斯托·贝尔塔雷利,先生,58,意大利-拉齐奥-罗马, ,Serono,瑞士-格施塔德,Switzerland-Gstaad,制药,136,13,950.0,0%
伊斯雷尔·英格兰德,先生,未知,,本科,Millennium Management,美国-纽约,USA-New York,资产管理,136,133,950.0,44%
刘銮雄,先生,未知,中国-香港-香港,本科,华人置业,中国-香港,China-Hong Kong,房地产,136,13,950.0,0%
库玛·曼加拉姆·比拉,先生,56,印度-拉贾斯坦-拉贾斯坦邦, ,Aditya Birla,印度-孟买,India-Mumbai,建筑材料,136,-32,950.0,-22%
刘强东,先生,49,中国-江苏-宿迁,本科,京东,中国-北京,China-Beijing,电子商务,136,-51,950.0,-33%
刘永好,先生,72,中国-四川-成都, ,新希望,中国-成都,China-Chengdu,农业、化工、金融,136,-43,950.0,-26%
米哈伊尔·弗里德曼,先生,59,乌克兰-利沃夫-利沃夫, ,Alfa,英国-伦敦,UK-London,能源,136,77,950.0,27%
米哈伊尔·普罗霍夫,先生,58,俄罗斯-莫斯科,本科,极地黄金,俄罗斯-莫斯科,Russia-Moscow,金属与矿产,136,13,950.0,0%
Pavel Durov,先生,38,,,Telegram,阿拉伯联合酋长国-迪拜,UAE-Dubai,即时通信,136,866,950.0,289%
Sarath Ratanavadi,先生,57,,,Gulf Energy Development,泰国-曼谷,Thailand-Bangkok,能源,136,32,950.0,8%
