姓名,性别,年龄,财富值_人民币/亿元,排名变化,企业信息,所在行业
李茂洪、刘雨华夫妇,先生,54,55,New ~,弘亚数控,工业机械
李世伦,先生,61,55,-196,晶盛机电,机电设备
李文,先生,53,55,-295,奥特维,光伏设备
李学凌,先生,50,55,131,欢聚时代,游戏、语音软件
梁美珍家族,先生,49,55,-113,捷佳伟创,半导体设备
刘昊、刘蕾夫妇,先生,47,55,-40,奥海科技,充电器
刘冀鲁、刘凌云父女,先生,76,55,37,顺丰,快递
马斌、陈小琴夫妇,先生,53,55,37,神马,电气机械和器材
毛全林,先生,53,55,-189,晶盛机电,机电设备
明再远,先生,60,55,New ~,新天然气,天然气
彭建林、唐雪姣夫妇,先生,40,55,New ~,曼恩斯特,涂布材料
邱达强,先生,61,55,-113,富地石油,石油化工
沈波,先生,60,55,-113,分布式资本,投资
施清岛家族,先生,58,55,-40,台华新材,纺织材料
束小龙、董雪夫妇,先生,35,55,37,老乡鸡,餐饮
孙中伟、温美婵夫妇,先生,45,55,-633,华宝新能,便携储能电池、太阳能
陶诚、卢萍芳夫妇,先生,48,55,-427,铭利达,设备制造
童建国家族,先生,60,55,New ~,永和股份,化工
汪东颖,先生,57,55,-295,纳思达,打印设备
王坚,先生,61,55,9,阿里系,电子商务、金融科技
王强翔,先生,52,55,37,共创草坪,人造草坪
熊凤祥、熊俊父子,先生,76,55,-246,君实生物,生物医疗
徐士龙家族,先生,65,55,New ~,上海港湾,岩土工程服务
杨龙忠,先生,57,55,-40,比亚迪,汽车、充电电池
杨霞,女士,49,55,New ~,锦波,生物医药
叶标、胡金莲夫妇,先生,53,55,9,浙富控股,清洁能源装备
袁帅,先生,36,55,37,莉莉丝,游戏
詹国海,先生,55,55,New ~,鑫海控股,石油化工
张昊,先生,36,55,37,莉莉丝,游戏
张长虹,先生,65,55,New ~,大智慧,数据服务
周晓峰、张松梅夫妇,先生,54,55,New ~,宁波华翔,汽车零配件
左宗申家族,先生,70,55,112,宗申,摩托车、房地产
林志军,先生,48,54,46,大博医疗,医疗器械
楼柏良,先生,60,54,-112,康龙化成,生物医药
孟庆南家族,先生,65,54,-15,武汉凡谷,通信设备元件
彭翼捷,先生,44,54,-43,阿里系,电子商务、金融科技
银鑫,先生,38,54,79,快手科技,传媒娱乐
车冯升,先生,61,53,-48,四环医药,医药
费振勇、刘海凝夫妇,先生,54,53,New ~,京北方,金融服务
冯晨晖,先生,57,53,New ~,卓胜微,电子器件制造
黄俊康家族,先生,68,53,-484,莱蒙国际,房地产
马飞、黄峥夫妇,先生,55,53,New ~,飞荣达,电子元件
彭浩,先生,56,53,74,信维通信,通信部件
宋川,先生,53,53,New ~,致欧科技,家具制造
田明,先生,54,53,New ~,星空华文,文化娱乐
许小曙、许多父子,先生,69,53,New ~,华曙高科,3D打印设备
曹余华家族,先生,69,52,New ~,贝斯特,汽车零部件
谷峰兰、马冰冰母女,先生,73,52,New ~,中重科技,冶金专用设备
李军,先生,59,52,54,利亚德,LED
刘江,先生,55,52,-30,贵州燃气,城市燃气
卢琳,先生,43,52,New ~,柏楚电子,信息技术
鲁卫东,先生,58,52,New ~,鄂尔多斯,羊绒、煤电、冶金、房地产
马国林,先生,59,52,New ~,卫星石化,化工
欧阳永跃,先生,57,52,New ~,尚太科技,锂电池材料
孙任靖,先生,59,52,-266,三孚,化工
万仁春,先生,55,52,New ~,威迈斯,汽车零部件
王跃旦家族,先生,70,52,-45,富佳实业,家用电器
王云富、王扬超父子,先生,61,52,64,东港工贸,医药、化工
吴培服、吴迪父子,先生,62,52,-454,双星新材,包装材料、印刷品
谢子龙、陈秀兰夫妇,先生,57,52,-256,老百姓,医药零售
俞浩,先生,36,52,New ~,追觅科技,智能家电
张国山家族,先生,64,52,-127,同飞,电气设备
周福贵,先生,61,52,64,三一,重型机械
周云杰,先生,62,52,35,奥瑞金,包装
沙晓岚、王芳韵夫妇,先生,61,51,New ~,锋尚文化,文化传媒
王文才,先生,52,51,-221,润丰股份,化工
项兴富家族,先生,60,51,46,兴惠化纤,化纤
蔡建勇,先生,53,50,New ~,力勤资源,有色金属
曹世如、曹曾俊母子,先生,71,50,42,红旗连锁,零售连锁
陈邦栋,先生,53,50,New ~,思源电气,输配电设备
陈茂春,先生,71,50,9,兴华财富,钢铁
陈宁,先生,48,50,New ~,云天励飞,人工智能
陈小英,先生,47,50,42,申通快递,物流
成三荣、金成成父子,先生,60,50,-436,沪光股份,汽车配件
崔国鹏,先生,47,50,New ~,华勤技术,消费电子
崔维星,先生,53,50,-129,德邦快递,快递
郭为,先生,60,50,New ~,神州数码,云计算
过建廷、过稼阳父子,先生,60,50,New ~,柏诚股份,洁净室系统
韩敬远、韩力父子,先生,67,50,-52,津西,钢铁、房地产
胡欢,先生,52,50,New ~,三六零安全科技,网络信息服务
胡鹍辉,先生,32,50,42,亚辉龙,生物科技
黄善兵家族,先生,67,50,-129,捷捷微电,半导体器件
黄振达,先生,76,50,42,联泰,基础建设、房地产
黄正聪,先生,56,50,-52,视源,消费电子
吉为、吉喆父子,先生,66,50,New ~,威胜信息,通信设备
李阿波、李想父子,先生,68,50,New ~,威力传动,风电设备
李成辉家族,先生,54,50,-129,联合,投资
李兴家族,先生,52,50,New ~,欢乐家,食品饮料
林侠、王馨夫妇,先生,51,50,New ~,鼎泰高科,电子元件制造
林晓辉、苏娇华夫妇,先生,50,50,-384,伟禄,投资、房地产
刘满世家族,先生,74,50,New ~,满世,煤炭
楼国强、陆小咪夫妇,先生,66,50,23,金田投资,铜加工、贸易
卢盛林,先生,43,50,-335,奥普特,消费电子产品
卢治临,先生,40,50,-384,奥普特,消费电子产品
马成喜,先生,67,50,-129,现代,房地产
马瑞敏、马艺芯母女,先生,58,50,42,地素时尚,服装
邱达昌、邱吴慧平夫妇,先生,69,50,42,远东发展,房地产
沈锦华,先生,56,50,New ~,焦点科技,电子商务
宋礼华,先生,66,50,New ~,安科生物,医药制造业
宋睿家族,先生,48,50,-335,云图控股,化工
孙俊良、孙恒父子,先生,60,50,-67,陕西恒源,煤炭
孙荫环家族,先生,73,50,42,亿达,房地产、软件园
孙永辉,先生,52,50,-52,视源,消费电子
汪群斌,先生,54,50,-129,复星,投资
王毅然,先生,43,50,-52,视源,消费电子
王张兴,先生,56,50,42,城市地产,房地产、投资
夏信德,先生,59,50,-589,鹏辉能源,电池
肖日明家族,先生,87,50,New ~,华明装备,电力设备
熊晓鸽,先生,68,50,23,IDG资本,投资
徐明星,先生,38,50,42,欧科云链,区块链
徐小平,先生,67,50,-52,真格,投资
阎焱,先生,66,50,32,赛富,投资
杨明超、杨童雨父女,先生,51,50,42,锅圈食品,食材超市
叶华能,先生,72,50,42,宝丽华,新能源
叶燕桥,先生,54,50,-436,海天味业,调味品
俞金坤、戈建鸣父子,先生,80,50,New ~,今创集团,轨交设备
袁金钰家族,先生,67,50,42,顺络电子,新型电子元件
张桂平、张康黎父子,先生,72,50,-278,苏宁环球,房地产、投资
张永锋家族,先生,76,50,New ~,Amphastar,医药
郑红、郑小丹父女,先生,73,50,-522,鸿远电子,电子元器件
郑应南,先生,66,50,New ~,皇权,免税店
钟宝申,先生,56,50,-342,隆基,硅材料
钟志平,先生,70,50,42,创科实业,消费品
周富裕、唐建芳夫妇,先生,48,50,-129,周黑鸭,食品
周华松、吴文利夫妇,先生,57,50,42,松霖科技,淋浴设备
周明华,先生,59,50,-80,华海药业,医药
庄辰超,先生,47,50,-129,斑马投资,投资
