姓名,性别,年龄,财富值_人民币/亿元,排名变化,企业信息,所在行业
张松桥,先生,59,205,-10,中渝,房地产
张文中,先生,61,205,-59,物美,零售
周超男家族,先生,63,205,New ~,润泽科技,软件与信息技术服务
黄柏年,先生,67,200,11,外滩中心,房地产
黄光苗,先生,54,200,68,中洲,房地产
王希成家族,先生,75,200,51,玲珑轮胎,轮胎
吴少勋,先生,67,200,11,劲牌,保健酒
许家印,先生,65,200,-96,恒大,房地产、投资
郭恩元家族,先生,75,195,45,普阳钢铁,钢铁、煤化工
姜滨、胡双美夫妇,先生,57,195,-129,歌尔股份,声学及多媒体产品
李小冬,先生,45,195,-95,冬海集团,网络游戏、电商
聂腾云、陈立英夫妇,先生,47,195,-125,韵达,物流
张忠谋,先生,92,195,97,台积电,半导体
朱兴明、朱瀚玥父女,先生,56,195,82,汇川技术,工业自动化产品
蔡明介家族,先生,73,190,119,联发科技,半导体
陈士斌、邵静夫妇,先生,57,190,-56,石英股份,石英制品
冯海良,先生,63,190,-56,海亮,铜加工、投资
郭梅兰、张寓帅母子,先生,36,190,-68,东阳光,医药、电子新材料
李赶坡,先生,74,190,-29,敬业,钢铁
李力,先生,58,190,-35,爱尔眼科,医疗服务
林敏雄,女士,73,190,76,元利,房地产
阎志,先生,51,190,56,卓尔,房地产、投资
赵丰刚,先生,57,190,29,宁德时代,锂电池
周延,先生,58,190,697,艾美疫苗,疫苗
蔡东晨,先生,70,185,-39,石药,医药
曾小山家族,先生,78,185,-55,曾氏企业,铝业
陈天石,先生,38,185,497,寒武纪,人工智能芯片
黄伟、李萍夫妇,先生,64,185,-11,新湖,房地产、金融
解直锟家族,先生,62,185,-29,中植,投资
梁允超家族,先生,54,185,46,汤臣倍健,保健品
林刚,先生,59,185,46,康哲药业,医药
罗才仁家族,先生,70,185,66,正新橡胶,轮胎制造
潘石屹、张欣夫妇,先生,60,185,-11,SOHO中国,房地产
王长田、杜英莲夫妇,先生,58,185,81,光线传媒,影视娱乐
谢伟通,先生,66,185,29,华友钴业,有色金属
张剑、张格格父女,先生,54,185,-21,爱玛,电动自行车
陈泰铭家族,先生,67,180,34,国巨,电子制造、收藏
李晓明家族,先生,65,180,-197,恩捷股份,包装盒生产
廖汤慧霭,女士,75,180,34,纪惠,房地产
南存辉,先生,60,180,26,正泰,工业电器、投资
唐金奎、朱玉琴夫妇,先生,68,180,-116,盛虹,印染、化纤、房地产
吴冠江、刘铁鹰夫妇,先生,55,180,-15,智飞生物,疫苗
