排名1,财富值_人民币/亿元,排名变化,个人信息3,性别,年龄,公司名称,所在行业
174,285,-2,夏佐全,先生,60,比亚迪,汽车、充电电池
174,285,5,尤小平家族,先生,65,华峰,化工、铝业、投资
179,280,18,蔡志明,先生,78,旭日国际,玩具
179,280,33,洪杰,先生,56,三棵树,涂料
179,280,-24,李春安,先生,55,隆基,硅材料
179,280,7,张红超,先生,45,蜜雪冰城,餐饮
179,280,7,张红甫,先生,38,蜜雪冰城,餐饮
184,275,61,曾芳勤,女士,58,领益智造,消费电子精密件
184,275,-79,程雪,女士,53,海天味业,调味品
184,275,40,王燕清家族,先生,57,先导智能,自动化设备
184,275,-51,张茵家族,女士,66,玖龙纸业,环保造纸
188,270,-2,辜仲立家族,先生,56,中信金控,金融服务
188,270,108,李华,先生,45,富途,金融服务
188,270,-16,缪寿良,先生,68,富源,房地产、水电
188,270,-16,沈南鹏,先生,56,红杉,投资
188,270,-29,涂辉龙,先生,64,海雅,商业、金融、地产
188,270,9,徐波,先生,46,多益网络,网络游戏
188,270,-16,朱鼎健家族,先生,49,观澜湖,房地产
188,270,New ~,朱义,先生,60,百利天恒,医药
197,265,-116,高纪凡家族,先生,58,天合光能,光伏产品
197,265,-2,宿华,先生,41,快手科技,传媒娱乐
199,260,13,杨建文家族,先生,70,伯恩光学,工业产品
199,260,0,袁征家族,先生,53,zoom,视频软件
202,255,33,茅理翔家族,先生,82,方太厨具,厨具
202,255,33,吴以岭家族,先生,74,以岭,医药
202,255,-62,喻会蛟家族,先生,54,圆通速递,物流
205,250,30,钭正刚家族,先生,70,锦江,能源、化工
205,250,-67,唐彬森,先生,41,元气森林,饮料
205,250,-76,许荣茂家族,先生,73,世茂,房地产
205,250,-3,许文龙家族,先生,95,奇美,化工
205,250,-126,张和君,先生,71,德业股份,电器零部件制造
212,245,33,林鸿南家族,先生,56,宏泰,投资
212,245,-61,徐金富,先生,59,天赐材料,化学原料制品
214,240,-2,陈大年,先生,45,wifi万能钥匙,上网平台
214,240,-7,李卫国,先生,58,东方雨虹,防水材料
214,240,55,刘克振家族,先生,69,研华,电脑设备
214,240,95,彭铁缆,先生,未知,博深集团,企业服务
214,240,8,杨绍鹏,先生,67,海丰,航运
214,240,-15,张磊,先生,51,高瓴资本,投资
223,235,678,宋涛,先生,47,米哈游,游戏
223,235,-64,汪建,先生,69,华大基因、碳云,基因检测、医疗大数据
223,235,10,周晓萍家族,女士,62,星宇股份,汽车灯具
223,235,-16,朱林瑶,女士,53,华宝国际,香精香料、烟草
227,230,-3,曹其峰,先生,77,永新,杂货
227,230,48,季琦,先生,57,华住,连锁酒店
227,230,8,廖龙星,先生,未知,长春,化工
227,230,8,林书鸿,先生,95,长春,化工
227,230,8,郑正,先生,未知,长春,化工
232,225,-20,安康家族,先生,74,华兰生物,生物制药
232,225,13,倪祖根家族,先生,66,莱克电气,小家电
232,225,-92,薛敏,先生,未知,联影医疗,医疗设备
237,220,14,黄文仔,先生,70,星河湾,房地产、投资
237,220,72,李仲初家族,先生,60,石基,软件与信息服务
237,220,220,倪永培,先生,71,迎驾,白酒
237,220,-35,薛华,先生,53,海大,饲料
261,205,-106,李良彬,先生,56,赣锋锂业,有色金属冶炼加工
261,205,48,刘炽平,先生,50,腾讯,互联网服务
261,205,New ~,苏庆灿,先生,54,华厦眼科,医疗服务
261,205,-10,张松桥,先生,59,中渝,房地产
261,205,-59,张文中,先生,61,物美,零售
261,205,New ~,周超男家族,先生,63,润泽科技,软件与信息技术服务
268,200,11,黄柏年,先生,67,外滩中心,房地产
